x y
-5.000000000000000000e-01 -6.999999999999999556e-01
-2.999999999999999334e-01 -6.999999999999999556e-01
-9.999999999999997780e-02 -6.999999999999999556e-01
9.999999999999997780e-02 -6.999999999999999556e-01
3.000000000000001554e-01 -6.999999999999999556e-01
5.000000000000001110e-01 -6.999999999999999556e-01
-6.999999999999999556e-01 -5.000000000000000000e-01
-5.000000000000000000e-01 -5.000000000000000000e-01
-2.999999999999999334e-01 -5.000000000000000000e-01
-9.999999999999997780e-02 -5.000000000000000000e-01
9.999999999999997780e-02 -5.000000000000000000e-01
3.000000000000001554e-01 -5.000000000000000000e-01
5.000000000000001110e-01 -5.000000000000000000e-01
7.000000000000000666e-01 -5.000000000000000000e-01
-6.999999999999999556e-01 -2.999999999999999334e-01
-5.000000000000000000e-01 -2.999999999999999334e-01
5.000000000000001110e-01 -2.999999999999999334e-01
7.000000000000000666e-01 -2.999999999999999334e-01
-6.999999999999999556e-01 -9.999999999999997780e-02
-5.000000000000000000e-01 -9.999999999999997780e-02
5.000000000000001110e-01 -9.999999999999997780e-02
7.000000000000000666e-01 -9.999999999999997780e-02
-6.999999999999999556e-01 9.999999999999997780e-02
-5.000000000000000000e-01 9.999999999999997780e-02
5.000000000000001110e-01 9.999999999999997780e-02
7.000000000000000666e-01 9.999999999999997780e-02
-6.999999999999999556e-01 3.000000000000001554e-01
-5.000000000000000000e-01 3.000000000000001554e-01
5.000000000000001110e-01 3.000000000000001554e-01
7.000000000000000666e-01 3.000000000000001554e-01
-6.999999999999999556e-01 5.000000000000001110e-01
-5.000000000000000000e-01 5.000000000000001110e-01
-2.999999999999999334e-01 5.000000000000001110e-01
-9.999999999999997780e-02 5.000000000000001110e-01
9.999999999999997780e-02 5.000000000000001110e-01
3.000000000000001554e-01 5.000000000000001110e-01
5.000000000000001110e-01 5.000000000000001110e-01
7.000000000000000666e-01 5.000000000000001110e-01
-5.000000000000000000e-01 7.000000000000000666e-01
-2.999999999999999334e-01 7.000000000000000666e-01
-9.999999999999997780e-02 7.000000000000000666e-01
9.999999999999997780e-02 7.000000000000000666e-01
3.000000000000001554e-01 7.000000000000000666e-01
5.000000000000001110e-01 7.000000000000000666e-01
-2.500000000000000000e-01 -3.499999999999999778e-01
-1.499999999999999667e-01 -3.499999999999999778e-01
-4.999999999999998890e-02 -3.499999999999999778e-01
4.999999999999998890e-02 -3.499999999999999778e-01
1.500000000000000777e-01 -3.499999999999999778e-01
2.500000000000000555e-01 -3.499999999999999778e-01
-3.499999999999999778e-01 -2.500000000000000000e-01
-2.500000000000000000e-01 -2.500000000000000000e-01
-1.499999999999999667e-01 -2.500000000000000000e-01
-4.999999999999998890e-02 -2.500000000000000000e-01
4.999999999999998890e-02 -2.500000000000000000e-01
1.500000000000000777e-01 -2.500000000000000000e-01
2.500000000000000555e-01 -2.500000000000000000e-01
3.500000000000000333e-01 -2.500000000000000000e-01
-3.499999999999999778e-01 -1.499999999999999667e-01
-2.500000000000000000e-01 -1.499999999999999667e-01
2.500000000000000555e-01 -1.499999999999999667e-01
3.500000000000000333e-01 -1.499999999999999667e-01
-3.499999999999999778e-01 -4.999999999999998890e-02
-2.500000000000000000e-01 -4.999999999999998890e-02
2.500000000000000555e-01 -4.999999999999998890e-02
3.500000000000000333e-01 -4.999999999999998890e-02
-3.499999999999999778e-01 4.999999999999998890e-02
-2.500000000000000000e-01 4.999999999999998890e-02
2.500000000000000555e-01 4.999999999999998890e-02
3.500000000000000333e-01 4.999999999999998890e-02
-3.499999999999999778e-01 1.500000000000000777e-01
-2.500000000000000000e-01 1.500000000000000777e-01
2.500000000000000555e-01 1.500000000000000777e-01
3.500000000000000333e-01 1.500000000000000777e-01
-3.499999999999999778e-01 2.500000000000000555e-01
-2.500000000000000000e-01 2.500000000000000555e-01
-1.499999999999999667e-01 2.500000000000000555e-01
-4.999999999999998890e-02 2.500000000000000555e-01
4.999999999999998890e-02 2.500000000000000555e-01
1.500000000000000777e-01 2.500000000000000555e-01
2.500000000000000555e-01 2.500000000000000555e-01
3.500000000000000333e-01 2.500000000000000555e-01
-2.500000000000000000e-01 3.500000000000000333e-01
-1.499999999999999667e-01 3.500000000000000333e-01
-4.999999999999998890e-02 3.500000000000000333e-01
4.999999999999998890e-02 3.500000000000000333e-01
1.500000000000000777e-01 3.500000000000000333e-01
2.500000000000000555e-01 3.500000000000000333e-01
-1.250000000000000000e-01 -1.749999999999999889e-01
-7.499999999999998335e-02 -1.749999999999999889e-01
-2.499999999999999445e-02 -1.749999999999999889e-01
2.499999999999999445e-02 -1.749999999999999889e-01
7.500000000000003886e-02 -1.749999999999999889e-01
1.250000000000000278e-01 -1.749999999999999889e-01
-1.749999999999999889e-01 -1.250000000000000000e-01
-1.250000000000000000e-01 -1.250000000000000000e-01
-7.499999999999998335e-02 -1.250000000000000000e-01
-2.499999999999999445e-02 -1.250000000000000000e-01
2.499999999999999445e-02 -1.250000000000000000e-01
7.500000000000003886e-02 -1.250000000000000000e-01
1.250000000000000278e-01 -1.250000000000000000e-01
1.750000000000000167e-01 -1.250000000000000000e-01
-1.749999999999999889e-01 -7.499999999999998335e-02
